fandom,fic,year,month,category
"My Little Pony",33.333333333333336," 2019"," 03"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 04"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 05"," cartoon"
"My Little Pony",50.0," 2019"," 06"," cartoon"
"My Little Pony",50.0," 2019"," 07"," cartoon"
"My Little Pony",50.0," 2019"," 08"," cartoon"
"My Little Pony",50.0," 2019"," 09"," cartoon"
"My Little Pony",100.0," 2019"," 10"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 11"," cartoon"
"My Little Pony",33.333333333333336," 2019"," 12"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 01"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 02"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 03"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 04"," cartoon"
"My Little Pony",50.0," 2020"," 05"," cartoon"
"My Little Pony",50.0," 2020"," 06"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 07"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 08"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 09"," cartoon"
"My Little Pony",100.0," 2020"," 10"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 11"," cartoon"
"My Little Pony",33.333333333333336," 2020"," 12"," cartoon"
"My Little Pony",33.333333333333336," 2021"," 01"," cartoon"
"My Little Pony",20.0," 2021"," 02"," cartoon"
"My Little Pony",20.0," 2021"," 03"," cartoon"
"My Little Pony",20.0," 2021"," 04"," cartoon"
"My Little Pony",20.0," 2021"," 06"," cartoon"
"My Little Pony",20.0," 2021"," 07"," cartoon"
"My Little Pony",20.0," 2021"," 08"," cartoon"
"My Little Pony",20.0," 2021"," 10"," cartoon"
"My Little Pony",20.0," 2021"," 11"," cartoon"
"My Little Pony",20.0," 2021"," 12"," cartoon"
"My Little Pony",20.0," 2022"," 01"," cartoon"
"My Little Pony",20.0," 2022"," 02"," cartoon"
"My Little Pony",20.0," 2022"," 03"," cartoon"
